IPQA NO;Current Paper NO;Lot;Product Model;Equipment;Surface Treatment;Layout Design;Production Process;Edge Position;Board Specification;Board Length (mm);Board Width (mm);Minimum Hole Diameter (mm);Customer Number;Full Board Plating_Production Line Equipment Name;Full Board Plating_Copper Surface Requirement (um);Full Board Plating_Hole Copper Requirement (um);Full Board Plating_Copper Current Density;Full Board Plating_Spray Frequency (HZ);Full Board Plating_Copper Plating Time (min);Full Board Plating_Board Speed (m/min);Pattern Plating_Production;Pattern Plating_Copper Surface Requirement (um);Pattern Plating_Hole Copper Requirement (um);Pattern Plating_Plated Area (GTL);Pattern Plating_Plated Area (GBL);Pattern Plating_Copper Current Density;Pattern Plating_Tin Plating Current Density;Pattern Plating_Spray Frequency|Copper (HZ);Pattern Plating_Spray Frequency|Tin (HZ);Pattern Plating_Copper Plating Time (min);Pattern Plating_Tin Plating Time (min);Pattern Plating_Board Speed (m/min);Is Hole Plugged;Not Plugged;Plugged;Inspection Item;Requirement;Measured Range 1;Measured Range 2;Measured Range 3;Measured Range 4;Measured Range 5;Measured Range 6;Average Value;Judgment;min_requirement;judgement_criteria;label;thickness_min;thickness_max;thickness_mean;thickness_std;thickness_range;mfgpartId;Part Number;Panel Length;Panel Width;Part Length;Part Width;Line width/spacing (mm);Graphic Area C Side %;Graphic Area S Side %;Board Thickness (mm);Min. hole size;Total Hole Quantity;Ratio;Panel Size;Line Width (mm);Line Spacing (mm);is_vcp;minimal_thickness;maximal_thickness;thickness_asymmetry;thickness_req_ratio;thickness_delta;minimum_hole_diameter
DCI-20250709070;ECI-20250706002;WOA250625737-00-001-001;J0400229B00.0;2#龙门图电线;喷锡;A板;正片;短边;1.9;596.0;492.0;0.45;H0163;荣信;5;5;28;45.0;18.5;2.1;龙门;≥70;单点≥20，平均≥25;32.0;29.0;18.0;20.0;;;60.0;8;;是;;;孔铜;≥20平均25;36.6;25.49;37.26;31.37;27.45;36.6;32.46;ACC;20.0;25.0;0;25.49;37.26;32.46;5.14;11.77;341000;J0400229B00.0;600.0;496.0;284.0;235.0;0.254/0.25;31.83;29.14;2.0;0.45;6724.0;4.444444444444445;297600.0;0.254;0.25;False;25.49;37.26;11.77;0.2744999999999999;5.489999999999998;0.45
DCI-20250709253;ECI-20250623005;WOA250616437-00-001-001;JP4C208EA0;2#龙门图电线;沉金;A板;正片;短边;1.5;599.0;444.0;0.35;H0080;东威;5;5;28;50.0;18.5;2.1;龙门;≥38.4;单点≥18，平均≥20;39.0;41.0;16.0;10.0;;;60.0;8;;否;;;孔铜;≥18平均20;35.08;25.85;35.08;35.69;26.46;34.46;32.1;ACC;18.0;23.0;0;25.85;35.69;32.1;4.63;9.839999999999996;28572;JP4C208EA0;603.0;448.0;208.0;113.0;0.2/0.2;39.0;41.0;1.6;0.35;5100.0;4.571428571428572;270144.0;0.2;0.2;False;25.85;35.69;9.839999999999996;0.43611111111111117;7.850000000000001;0.35
DCI-20250709311;ECI-20250706007;WOA250625770-00-001-001;J0400036C01.0;2#龙门图电线;喷锡;A板;正片;长边;1.1;578.0;434.0;0.4;H0080;荣信;5;5;28;45.0;18.5;2.1;龙门;≥50; 单点≥20，平均≥25;68.0;68.0;18.0;10.0; ; ;60.0;8; ;是;;;孔铜;≥20平均25;28.76;24.18;30.72;28.76;24.84;28.11;27.56;ACC;20.0;25.0;1;24.18;30.72;27.56;2.53;6.539999999999999;456107;J0400036C01.0;580.0;436.8;418.0;271.0;0.152/0.152;68.0;68.0;1.2;0.4;22400.0;3.0;253344.0;0.152;0.152;False;24.18;30.72;6.539999999999999;0.209;4.18;0.4
DCI-20250709338;ECI-20250708002;WOA250704068-00-001-001;J0400713A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.5;618.0;506.0;0.4mm;H0154;东威;5;5;28;45.0;18.5;2.1;龙门;≥35;单点≥20，平均≥25;47.0;48.0;18.0;10.0;;;60.0;8;;是;;;孔铜;≥20平均25;29.41;24.18;30.72;27.15;24.84;31.37;27.94;ACC;20.0;25.0;1;24.18;31.37;27.95;3.03;7.190000000000001;501330;J0400713A00.0;622.0;510.0;216.6;160.5;0.203/;47.0;48.0;1.6;0.4;20167.0;4.0;317220.0;0.203;;False;24.18;31.37;7.190000000000001;0.209;4.18;0.4
DCI-20250709339;ECI-20250709002;WOA250625769-00-001-001;J0400037B01.0;2#龙门图电线;喷锡;A板;正片;短边;0.53;580.0;442.0;0.4;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;≥50;单点≥20，平均≥25;68.0;69.0;18.0;11.0;;;60.0;8;;是;;;孔铜;≥20平均25;28.11;21.57;27.45;24.84;22.88;27.45;25.38;ACC;20.0;25.0;1;21.57;28.11;25.38;2.72;6.539999999999999;455966;J0400037B01.0;580.0;442.0;418.0;271.0;0.178/0.15;68.0;69.0;1.2;0.4;26343.0;3.0;256360.0;0.178;0.15;False;21.57;28.11;6.539999999999999;0.07850000000000001;1.5700000000000003;0.4
DCI-20250709340;ECI-20250708004;WOA250705106-00-001-001;J0400700A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.5;618.0;458.0;0.4mm;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;≥83.7;单点≥20;55.0;55.0;18.0;10.0;;;60.0;8;;否;;;孔铜;≥20;28.76;25.49;30.72;29.41;24.18;30.07;28.1;ACC;20.0;25.0;0;24.18;30.72;28.1;2.65;6.539999999999999;504312;J0400700A00.0;622.0;462.0;290.0;218.0;0.25/0.225;55.29;55.69;1.6;0.4;14667.0;4.0;287364.0;0.25;0.225;False;24.18;30.72;6.539999999999999;0.209;4.18;0.4
DCI-20250709341;ECI-20250709003;WOA250625745-00-001-001;JS40469LA0;2#龙门图电线;喷锡;A板;正片;短边;1.0(含铜);562.0;450.14;0.5;H0053;东威;5;5;28;45.0;18.5;2.1;龙门;≥58;单点≥25;35.0;32.0;17.0;10.0;;;70.0;8;;否;;;孔铜;≥25;34.64;30.72;32.68;34.64;29.41;31.37;32.24;ACC;25.0;30.0;0;29.41;34.64;32.24;2.13;5.23;39719;JS40469LA0;562.0;450.14;139.38;132.0;0.229/0.254;35.0;32.0;1.575;0.5;9540.0;3.15;252978.68;0.229;0.254;False;29.41;34.64;5.23;0.1764;4.41;0.5
DCI-20250709342;ECI-20250708005;WOA250627858-00-001-001;J0400464A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.5;576.0;496.0;0.4;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;≥35;单点≥20，平均≥25;35.0;32.0;18.0;10.0;;;60.0;8;;否;;;孔铜;≥20平均25;33.99;28.11;33.99;30.68;28.11;33.99;31.47;ACC;20.0;25.0;0;28.11;33.99;31.48;2.91;5.880000000000003;408423;J0400464A00.0;580.0;500.0;232.11;149.81;0.2/0.202;35.3;32.6;1.6;0.4;22072.0;4.0;290000.0;0.2;0.202;False;28.11;33.99;5.880000000000003;0.40549999999999997;8.11;0.4
DCI-20250709578;ECI-20250709005;WOA250620612-00-001-001;J20T0001A00.0;2#龙门图电线;沉金;A板;正片;短边;;428.0;370.0;0.25mm;H0125;东威;≥33;单电≥18，平均≥20;26;45.0;48.0;0.8;龙门;≥33;单电≥18，平均≥20;32.0;32.0;5.0;14.0;;;60.0;8;;是;;;孔铜;≥18平均20;30.07;25.49;35.3;28.76;23.53;30.72;28.97;ACC;18.0;23.0;0;23.53;35.3;28.98;4.15;11.77;493946;J20T0001A00.0;428.0;370.0;188.0;159.0;;;;2.0;0.25;24216.0;8.0;158360.0;;;False;23.53;35.3;11.769999999999996;0.3072222222222223;5.530000000000001;0.25
DCI-20250710232;ECI-20250705002;WOA250702018-00-001-036;J0200657A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.4(含铜);520.5;399.0;0.45;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;38.4;20;46.81;56.22;17.0;10.0;;;60.0;8;;否;;;孔铜;≥20平均25;34.64;26.72;36.6;34.64;28.53;37.91;33.17;ACC;20.0;25.0;0;26.72;37.91;33.17;4.51;11.19;486788;J0200657A00.0;520.5;399.0;379.0;249.5;0.3/0.2;46.81;56.22;1.5;0.45;4704.0;3.333333333333333;207679.5;0.3;0.2;False;26.72;37.91;11.189999999999998;0.33599999999999997;6.719999999999999;0.45
DCI-20250710302;ECI-20250709006;WOA250708172-00-001-001;J0200672A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.5;580.0;458.0;0.65;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;52-85;单点≥25;65.0;69.0;17.0;12.0;;;70.0;8;;否;;;孔铜;≥25;29.41;28.11;32.68;29.41;28.11;30.07;29.63;ACC;25.0;30.0;1;28.11;32.68;29.63;1.69;4.57;506547;J0200672A00.0;580.0;458.0;438.0;279.0;0.254/0.254;65.3;69.11;1.55;0.65;6993.0;2.384615384615385;265640.0;0.254;0.254;False;28.11;32.68;4.57;0.12439999999999998;3.1099999999999994;0.65
DCI-20250710303;ECI-20250709008;WOA250707122-00-001-001;J0400673A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.5;618.0;325.0;0.4mm;H0053;东威;5;5;28;45.0;18.5;2.1;龙门;≥35;单点≥25;42.0;45.0;18.0;10.0;;;70.0;8;;是;;;孔铜;≥25;32.03;28.11;34.64;33.33;28.76;33.99;31.81;ACC;25.0;30.0;1;28.11;34.64;31.81;2.76;6.530000000000001;489025;J0400673A00.0;622.0;329.0;305.0;198.0;0.508/0.254;41.51;45.46;1.6;0.4;1633.0;4.0;204638.0;0.508;0.254;False;28.11;34.64;6.530000000000001;0.12439999999999998;3.1099999999999994;0.4
DCI-20250710304;ECI-20250709007;WOA250704066-00-001-001;J0600134A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.9;618.0;354.0;0.45;H0171;荣信;5;5;28;45.0;18.5;2.1;龙门;≥105;单点≥18，平均≥20;65.0;51.0;17.0;14.0;;;60.0;8;;否;;;孔铜;≥18平均20;32.0;24.62;34.46;33.23;26.46;35.69;31.07;ACC;18.0;23.0;0;24.62;35.69;31.08;4.5;11.07;503056;J0600134A00.0;622.0;358.0;297.43;108.59;0.4/0.326;65.18;51.6;2.0;0.45;3268.0;4.444444444444445;222676.0;0.4;0.326;False;24.62;35.69;11.069999999999997;0.3677777777777778;6.620000000000001;0.45
DCI-20250710402;ECI-20250710009;WOA250702022-00-001-001;J20T0001A00.0;2#东威板电VCP线;沉金;A板;负片;短边;;428.0;370.0;0.25mm;H0125;东威;≥33.4;单点≥18，平均≥20;26;45.0;48.0;0.8;;;;;;;;;;;;;;;;孔铜;≥18平均20;28.11;20.26;30.72;29.41;20.26;30.07;26.47;ACC;18.0;23.0;1;20.26;30.72;26.47;4.89;10.46;493946;J20T0001A00.0;428.0;370.0;188.0;159.0;;;;2.0;0.25;24216.0;8.0;158360.0;;;True;20.26;30.72;10.459999999999997;0.12555555555555564;2.2600000000000016;0.25
DCI-20250710438;ECI-20250710014;WOA250707142-00-001-001;J0400662A00.0;2#龙门图电线;喷锡;A板;正片;短边;1;600.0;542.0;0.25;H0200;荣信;5;5;28;45.0;18.5;2.1;龙门;≥33.4;单点≥18，平均≥20;60.0;65.0;16.0;10.0;;;60.0;8;;是;;;孔铜;≥18平均20;30.07;22.22;29.41;29.41;23.53;30.72;27.56;ACC;18.0;23.0;0;22.22;30.72;27.56;3.68;8.5;479353;J0400662A00.0;600.0;542.0;140.0;102.0;0.203/0.127;60.17;65.36;1.6;0.25;21725.0;6.4;325200.0;0.203;0.127;False;22.22;30.72;8.5;0.23444444444444437;4.219999999999999;0.25
DCI-20250711027;ECI-20250710004;WOA250709205-00-001-001;J0200629A00.0;1#东威图电VCP线;沉锡;A板;正片;短边;1.5;622.0;486.0;0.4mm;H0080;东威;5;5;28;45.0;18.5;2.1;东威;≥35;单点≥20，平均≥25;60.0;60.0;31.0;17.0;45;40;36.0;6;1;是;;;孔铜;≥20平均25;32.62;26.46;32.0;33.85;25.49;33.85;30.71;ACC;20.0;25.0;0;25.49;33.85;30.71;3.75;8.360000000000003;507858;J0200629A00.0;622.0;486.0;293.0;232.0;0.2/0.2;60.07;60.21;1.6;0.4;18713.0;4.0;302292.0;0.2;0.2;True;25.49;33.85;8.360000000000003;0.2744999999999999;5.489999999999998;0.4
DCI-20250711036;ECI-20250710005;WOA250709200-00-001-001;J0200689A00.0;2#东威板电VCP线;沉锡;A板;负片;短边;1.5;560.0;435.0;0.4mm;H0080;东威;≥35;单点≥18，平均≥20;27;45.0;48.8;0.8;;;;;;;;;;;;;;;;孔铜;≥18平均≥20;28.76;24.84;30.07;28.76;24.84;29.41;27.78;ACC;18.0;23.0;0;24.84;30.07;27.78;2.33;5.23;507926;J0200689A00.0;560.0;435.0;137.0;134.5;;;;1.635;0.4;2106.0;4.087499999999999;243600.0;;;True;24.84;30.07;5.23;0.38;6.84;0.4
DCI-20250711095;ECI-20250710006;WOA250709204-00-001-001;J0200627A00.0;1#东威图电VCP线;沉锡;A板;正片;短边;1.5;622.0;484.0;0.4mm;H0080;东威;5;5;28;45.0;18.5;2.1;东威;≥35;单点≥20，平均≥25;50.0;47.0;31.0;17.0;45;40;36.0;6;1;是;;;孔铜;≥20平均25;28.11;24.84;31.37;32.68;24.84;30.72;28.76;ACC;20.0;25.0;1;24.84;32.68;28.76;3.38;7.84;508371;J0200627A00.0;622.0;484.0;298.0;231.0;0.2/0.2;50.54;47.1;1.6;0.4;14372.0;4.0;301048.0;0.2;0.2;True;24.84;32.68;7.84;0.242;4.84;0.4
DCI-20250711214;ECI-20250708001;WOA250630904-00-004-005;JP2C310LD0;2#龙门图电线;喷锡;A板;正片;短边;1.4;622.0;430.0;0.3;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;≥35;单点≥20;56.0;64.0;16.0;10.0;;;70.0;8;;否;;;孔铜;≥20;32.03;28.76;33.99;32.03;25.49;33.99;31.04;ACC;20.0;25.0;0;25.49;33.99;31.05;3.33;8.500000000000004;260604;JP2C310LD0;622.0;430.0;410.0;200.0;0.2/0.2;56.0;64.0;1.5;0.3;9810.0;5.0;267460.0;0.2;0.2;False;25.49;33.99;8.500000000000004;0.2744999999999999;5.489999999999998;0.3
DCI-20250711250;ECI-20250710017;WOA250709207-00-001-001;J0200631A00.0;2#龙门图电线;沉锡;A板;正片;短边;1.5;600.0;476.0;0.4mm;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;≥35;单点≥20，平均≥25;60.0;60.0;18.0;10.0;;;60.0;8;;是;;;孔铜;≥20平均25;30.15;23.38;29.54;30.15;24.62;28.31;27.69;ACC;20.0;25.0;1;23.38;30.15;27.69;2.96;6.77;508180;J0200631A00.0;600.0;476.0;287.0;227.0;0.28/0.2;60.4;60.3;1.6;0.4;17819.0;4.0;285600.0;0.28;0.2;False;23.38;30.15;6.77;0.16899999999999996;3.379999999999999;0.4
DCI-20250711262;ECI-20250710015;WOA250626798-00-006-006;J0600075A00.1;2#龙门图电线;沉金;A板;正片;短边;1.8;596.0;420.0;0.45;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;≥70;单点≥20，平均≥25;56.0;51.0;18.0;12.0;;;60.0;8;;是;;;孔铜;≥20平均≥25;35.3;28.76;33.99;33.99;27.45;33.33;32.13;ACC;20.0;25.0;0;27.45;35.3;32.14;3.21;7.849999999999998;498433;J0600075A00.1;600.0;424.0;196.1;183.0;0.203/0.203;56.0;51.0;1.9;0.45;20072.0;4.222222222222222;254400.0;0.203;0.203;False;27.45;35.3;7.849999999999998;0.37249999999999994;7.449999999999999;0.45
DCI-20250711356;ECI-20250710001;WOA250707144-00-001-001;J02T0038A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.5;580.0;546.0;0.35;H0001;东威;5;5;28;45.0;18.5;2.1;龙门;≥35;单点≥20，平均≥25;61.0;64.0;18.0;10.0;;;60.0;8;;是;;;孔铜;≥20平均25;28.76;23.53;30.07;29.41;24.94;30.07;27.7;ACC;20.0;25.0;1;23.53;30.07;27.8;2.84;6.539999999999999;506558;J02T0038A00.0;580.0;546.0;263.0;89.0;0.25/0.25;61.32;63.94;1.6;0.35;41646.0;4.571428571428572;316680.0;0.25;0.25;False;23.53;30.07;6.539999999999999;0.17650000000000005;3.530000000000001;0.35
DCI-20250711430;ECI-20250711003;WOA250709206-00-001-001;J0200630A00.0;2#龙门图电线;沉锡;A板;正片;短边;1.5;600.0;476.0;0.4mm;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;≥35;单点≥20，平均≥25;60.0;59.0;18.0;10.0;;;60.0;8;;是;;;孔铜;≥20平均≥25;30.07;26.14;31.37;28.76;26.14;28.76;28.54;ACC;20.0;25.0;0;26.14;31.37;28.54;2.1;5.23;508126;J0200630A00.0;600.0;476.0;287.0;227.0;0.28/0.2;60.34;59.5;1.6;0.4;16786.0;4.0;285600.0;0.28;0.2;False;26.14;31.37;5.23;0.30700000000000005;6.140000000000001;0.4
DCI-20250711432;ECI-20250711001;WOA250709201-00-001-001;J0200628A00.0;2#龙门图电线;沉锡;A板;正片;短边;1.5;622.0;486.0;0.4mm;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;≥35;单点≥20，平均≥25;61.0;60.0;18.0;10.0;;;60.0;8;;是;;;孔铜;≥20平均≥25;36.31;28.31;35.08;36.92;28.92;34.46;33.33;ACC;20.0;25.0;0;28.31;36.92;33.33;3.76;8.610000000000003;507845;J0200628A00.0;622.0;486.0;293.0;232.0;0.2/0.2;60.8;59.7;1.6;0.4;17254.0;4.0;302292.0;0.2;0.2;False;28.31;36.92;8.610000000000003;0.4154999999999999;8.309999999999999;0.4
DCI-20250711434;ECI-20250711002;WOA250709208-00-001-001;J0200634A00.0;2#龙门图电线;沉锡;A板;正片;短边;1.5;622.0;484.0;0.4mm;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;≥35;单点≥20，平均≥25;51.0;47.0;18.0;10.0;;;60.0;8;;是;;;孔铜;≥20平均≥25;31.37;26.8;30.07;28.76;25.49;30.07;28.76;ACC;20.0;25.0;0;25.49;31.37;28.76;2.23;5.880000000000003;508460;J0200634A00.0;622.0;484.0;298.0;231.0;0.2/0.2;51.22;47.25;1.6;0.4;15877.0;4.0;301048.0;0.2;0.2;False;25.49;31.37;5.880000000000003;0.2744999999999999;5.489999999999998;0.4
DCI-20250711453;ECI-20250710019;WOA250708171-00-001-001;J0400719A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.5;618.0;534.0;0.4mm;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;55-95;单点≥20，平均≥25;50.0;53.0;18.0;11.0;;;60.0;8;;是;;;孔铜;≥20平均≥25;24.0;24.54;27.69;26.46;22.77;27.69;25.52;ACC;20.0;25.0;1;22.77;27.69;25.52;2.06;4.920000000000002;505759;J0400719A00.0;622.0;538.0;170.0;116.0;0.203/0.175;50.54;53.48;1.6;0.4;22761.0;4.0;334636.0;0.203;0.175;False;22.77;27.69;4.920000000000002;0.13849999999999998;2.7699999999999996;0.4
DCI-20250711594;ECI-20250710008;WOA250708177-00-001-001;J0200046A02.0;2#龙门图电线;沉锡;A板;正片;短边;1.4;622.0;540.0;0.4;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;≥70;单点≥30;60.0;70.0;19.0;12.0;;;80.0;8;;是;;;孔铜;≥30;35.95;32.03;33.99;33.33;32.68;;33.59;ACC;30.0;35.0;1;32.03;35.95;33.6;1.5;3.920000000000002;504002;J0200046A02.0;622.0;540.0;244.0;172.0;0.2/0.214;60.2;69.6;1.5;0.4;25475.0;3.75;335880.0;0.2;0.214;False;32.03;35.95;3.9200000000000017;0.06766666666666671;2.030000000000001;0.4
DCI-20250711647;ECI-20250710018;WOA250704069-00-009-013;J0400458A01.1;2#东威板电VCP线;沉锡;A板;负片;短边;1.5;618.0;534.0;0.5;H0080;荣信;70um+25/-10um;单点≥20，平均≥25;22;45.0;48.8;0.8;;;;;;;;;;;;;;;;孔铜;≥20平均25;36.6;27.96;38.56;37.91;29.41;35.95;34.39;ACC;20.0;25.0;0;27.96;38.56;34.4;4.54;10.6;436071;J0400458A01.1;622.0;538.0;235.0;170.0;;;;1.6;0.5;2016.0;3.2;334636.0;;;True;27.96;38.56;10.600000000000001;0.398;7.960000000000001;0.5
DCI-20250712357;ECI-20250710010;WOA250624687-00-001-001;J0600052B00.0;2#龙门图电线;喷锡;A板;正片;短边;1.9;618.0;536.0;0.35mm;H0163;荣信;5;5;28;45.0;18.5;2.1;龙门;≥70;单点≥20，平均≥25;32.0;32.0;16.0;12.0;;;70.0;8;;否;;;孔铜;≥20平均25;36.6;25.49;34.64;36.6;26.14;35.3;32.46;ACC;20.0;25.0;0;25.49;36.6;32.46;5.21;11.11;341326;J0600052B00.0;622.0;540.0;341.6;254.0;0.254/0.239;32.0;32.0;2.0;0.35;12728.0;5.714285714285714;335880.0;0.254;0.239;False;25.49;36.6;11.110000000000003;0.2744999999999999;5.489999999999998;0.35
DCI-20250713090;ECI-20250711007;WOA250710235-00-001-001;J0200632A00.0;2#龙门图电线;沉锡;A板;正片;短边;1.5;546.0;406.0;0.4;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;≥35;单点≥20，平均≥25;64.0;64.0;18.0;10.0;;;60.0;8;;是;;;孔铜;≥20平均25;32.62;24.62;32.62;30.77;26.46;32.03;29.85;ACC;20.0;25.0;0;24.62;32.62;29.85;3.46;7.999999999999996;507959;J0200632A00.0;546.0;406.0;385.0;262.0;0.2/0.2;64.0;64.0;1.6;0.4;9125.0;4.0;221676.0;0.2;0.2;False;24.62;32.62;7.9999999999999964;0.23100000000000004;4.620000000000001;0.4
DCI-20250713097;ECI-20250711006;WOA250709181-00-001-001;J0400671B00.0;2#龙门图电线;喷锡;A板;正片;短边;1.9;618.0;426.0;0.4mm;H0053;东威;5;5;28;45.0;18.5;2.1;龙门;≥35;单点≥25;34.0;34.0;17.0;10.0;;;80.0;8;;是;;;孔铜;≥25;36.31;27.69;37.54;35.69;28.31;35.69;33.53;ACC;25.0;30.0;1;27.69;37.54;33.54;4.35;9.849999999999998;507407;J0400671B00.0;622.0;430.0;295.68;202.0;0.508/0.488;30.0;30.0;2.0;0.4;4853.0;5.0;267460.0;0.508;0.488;False;27.69;37.54;9.849999999999998;0.10760000000000006;2.6900000000000013;0.4
DCI-20250713112;ECI-20250711009;WOA250710236-00-001-001;J0200633A00.0;2#龙门图电线;沉锡;A板;正片;短边;1.5;546.0;406.0;0.4;H0080;东威;5;5;28;45.0;18.5;2.1;龙门;≥35;单点≥20，平均≥25;65.0;64.0;18.0;10.0;;;60.0;8;;是;;;孔铜;≥20平均25;33.99;29.41;34.64;33.99;27.45;33.33;32.13;ACC;20.0;25.0;0;27.45;34.64;32.14;2.97;7.190000000000001;508044;J0200633A00.0;546.0;406.0;385.0;262.0;0.2/0.2;65.0;64.0;1.6;0.4;12782.0;4.0;221676.0;0.2;0.2;False;27.45;34.64;7.190000000000001;0.37249999999999994;7.449999999999999;0.4
DCI-20250713284;ECI-20250711011;WOA250709203-00-001-001;J0400717A00.1;2#龙门图电线;喷锡;A板;正片;短边;0.1;622.0;546.0;0.6;;东威板电;5;5;30;50.0;30.0;2.2;龙门;35;20;44.1;42.7;17.0;10.0;;;60.0;8;;;;;孔铜;≥20;24.18;22.88;24.84;24.18;23.53;23.53;23.85;ACC;20.0;25.0;1;22.88;24.84;23.86;0.68;1.960000000000001;508811;J0400717A00.1;622.0;546.0;294.0;130.0;0.2/0.2;44.1;42.7;1.6;0.6;23682.0;2.666666666666667;339612.0;0.2;0.2;False;22.88;24.84;1.9600000000000009;0.14399999999999996;2.879999999999999;0.6
DCI-20250713395;ECI-20250712003;WOA250707143-00-001-001;J0400670A00.0;2#龙门图电线;喷锡;A板;正片;短边;0.9;580.0;509.0;0.4mm;;东威板电;5;5;30;50.0;30.0;2.2;龙门;70;25;55.3;51.3;19.0;15.0;;;70.0;8;;;;;孔铜;≥25;33.99;26.8;33.33;35.3;26.4;34.64;31.74;ACC;25.0;30.0;1;26.4;35.3;31.74;4.04;8.899999999999999;486457;J0400670A00.0;580.0;509.0;241.2;181.0;0.508/0.203;55.3;51.3;2.0;0.4;15313.0;5.0;295220.0;0.508;0.203;False;26.4;35.3;8.899999999999999;0.055999999999999946;1.3999999999999986;0.4
DCI-20250713396;ECI-20250711013;WOA250707145-00-001-001;J0200691A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.4;546.0;470.0;0.35mm;;东威板电;5;5;30;50.0;30.0;2.2;龙门;35;20;27.57;30.8;18.5;10.0;;;60.0;8;;;;;孔铜;≥20;30.07;22.22;25.49;30.07;22.22;27.45;26.25;ACC;20.0;25.0;1;22.22;30.07;26.25;3.57;7.850000000000001;506939;J0200691A00.0;546.0;470.0;257.0;224.0;0.15/0.15;27.57;30.08;1.5;0.35;7023.0;4.285714285714286;256620.0;0.15;0.15;False;22.22;30.07;7.850000000000001;0.11099999999999995;2.219999999999999;0.35
DCI-20250713534;ECI-20250712004;WOA250711261-00-001-001;J0200698A00.0;2#龙门图电线;沉锡;A板;正片;短边;1.5;622.0;510.0;0.5;;东威板电;5;5;30;50.0;30.0;2.2;龙门;35;25;36.11;35.24;19.0;10.0;;;60.0;8;;;;;孔铜;≥20平均25;33.99;30.07;36.6;33.99;28.11;35.3;33.01;ACC;20.0;25.0;0;28.11;36.6;33.01;3.25;8.490000000000002;507999;J0200698A00.0;622.0;510.0;244.0;196.0;/;36.11;35.24;1.6;0.5;21427.0;3.2;317220.0;;;False;28.11;36.6;8.490000000000002;0.40549999999999997;8.11;0.5
DCI-20250713535;ECI-20250710013;WOA250625740-00-001-001;J0400230D00.0;2#龙门图电线;喷锡;A板;正片;短边;1.9;556.0;446.0;0.4;H0163;荣信;5;5;28;45.0;18.5;2.1;龙门.;≥105;单点≥20，平均≥25;26.0;25.0;16.0;14.0;;;70.0;8;;是;;;孔铜;≥20平均25;30.77;26.46;33.85;32.0;25.23;31.38;29.9;ACC;20.0;25.0;0;25.23;33.85;29.95;3.36;8.620000000000001;418574;J0400230D00.0;560.0;450.2;322.2;212.1;0.3/0.35;25.73;25.21;2.0;0.4;3024.0;5.0;252112.0;0.3;0.35;False;25.23;33.85;8.620000000000001;0.2615;5.23;0.4
DCI-20250713541;ECI-20250711008;WOA250709180-00-001-001;J0400672B00.0;2#龙门图电线;喷锡;A板;正片;短边;2.4;598.0;402.0;0.85mm;H0053;东威;5;5;28;45.0;18.5;2.1;龙门;≥105;单点≥25;74.0;76.0;17.0;14.0;;;80.0;8;;否;;;孔铜;≥25;34.64;29.54;35.69;33.85;28.92;33.85;32.74;ACC;25.0;30.0;1;28.92;35.69;32.75;2.81;6.769999999999996;507362;J0400672B00.0;600.0;404.0;380.0;192.0;/;73.93;76.06;2.5;0.85;3414.0;2.941176470588236;242400.0;;;False;28.92;35.69;6.769999999999996;0.15680000000000008;3.9200000000000017;0.85
DCI-20250714221;ECI-20250713007;WOA250618495-00-003-003;J0800017B01.0;2#东威板电VCP线;沉金;A板;负片;短边;1.4;596.0;526.0;0.25;H0080;东威;≥33.4;":单点≥18，平均≥20;";20;45.0;48.75;0.8;;;;;;;;;;;;;;;;孔铜;≥18平均20;30.07;27.45;31.37;33.33;25.49;32.03;29.95;ACC;18.0;23.0;0;25.49;33.33;29.96;2.96;7.84;415873;J0800017B01.0;600.0;530.0;186.0;124.0;;;;1.51;0.25;34260.0;6.04;318000.0;;;True;25.49;33.33;7.84;0.41611111111111104;7.489999999999998;0.25
